"STATION","NAME","DATE","TMAX"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-12","89"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-13","87"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-14","79"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-15","79"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-16","70"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-17","62"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-18","73"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-19","76"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-20","64"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-21","76"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-22","70"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-23","74"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-24","79"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-25","78"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-26","76"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-27","79"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-28","71"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-29","82"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-30","80"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-10-31","74"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-11-01","75"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-11-02","74"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-11-03","74"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-11-04","66"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-11-05","72"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-11-06","77"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-11-07","64"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-11-08","58"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-11-09","58"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-11-10","75"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-11-11","68"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-11-12","73"
"USC00417944","SAN ANGELO WEATHER FORECAST OFFICE, TX US","2013-11-13","50"
